word_id	newgsl_line	newgsl_word	newgsl_pos	enwk_pos	sseq	en_hw	enwk_page	enwk_def	pos_diff	pos_comment	en_hw_diff	newgsl_file_rank	newgsl_freq_rank
NBG_active_adj	active (adj, 1179)	active	adj	Adjective	1	active	active					35	1179
NBG_activity_n	ACTIVITY (n, 449)	activity	n	Noun	1	activity	activity					36	449
NBG_actor_n	actor (n, 2283)	actor	n	Noun	1	actor	actor					37	2283
NBG_actual_adj	actual (adj, 1104)	actual	adj	Adjective	1	actual	actual					38	1104
NBG_actually_adv	ACTUALLY (adv, 391)	actually	adv	Adverb	1	actually	actually					39	391
NBG_ad_n	ad (n, 2073)	ad	n	Noun	1	ad	ad					40	2073
NBG_add_v	ADD (v, 276)	add	v	Verb	1	add	add					41	276
NBG_addition_n	addition (n, 888)	addition	n	Noun	1	addition	addition					42	888
NBG_additional_adj	additional (adj, 1183)	additional	adj	Adjective	1	additional	additional					43	1183
NBG_address_n	address (n, 1522)	address	n	Noun	1	address	address					44	1522
NBG_address_v	address (v, 1080)	address	v	Verb	1	address	address					45	1080
NBG_adjust_v	adjust (v, 2388)	adjust	v	Verb	1	adjust	adjust					46	2388
NBG_adjustment_n	adjustment (n, 2489)	adjustment	n	Noun	1	adjustment	adjustment					47	2489
NBG_administration_n	administration (n, 1625)	administration	n	Noun	1	administration	administration					48	1625
NBG_admit_v	admit (v, 795)	admit	v	Verb	1	admit	admit					49	795
NBG_adopt_v	adopt (v, 1227)	adopt	v	Verb	1	adopt	adopt					50	1227
NBG_adult_n	adult (n, 1204)	adult	n	Noun	1	adult	adult					51	1204
NBG_advance_n	advance (n, 1491)	advance	n	Noun	1	advance	advance					52	1491
NBG_advantage_n	advantage (n, 851)	advantage	n	Noun	1	advantage	advantage					53	851
NBG_adventure_n	adventure (n, 2132)	adventure	n	Noun	1	adventure	adventure					54	2132
NBG_advice_n	advice (n, 935)	advice	n	Noun	1	advice	advice					55	935
NBG_advise_v	advise (v, 1469)	advise	v	Verb	1	advise	advise					56	1469
NBG_affair_n	affair (n, 1115)	affair	n	Noun	1	affair	affair					57	1115
NBG_affect_v	affect (v, 661)	affect	v	Verb	1	affect	affect					58	661
NBG_afford_v	afford (v, 1600)	afford	v	Verb	1	afford	afford					59	1600
NBG_afraid_adj	afraid (adj, 1878)	afraid	adj	Adjective	1	afraid	afraid					60	1878
NBG_after_con	AFTER (con, 90)	after	con	Preposition	1	after	after					61	90
NBG_afternoon_n	afternoon (n, 1153)	afternoon	n	Noun	1	afternoon	afternoon					62	1153
NBG_again_adv	AGAIN (adv, 142)	again	adv	Adverb	1	again	again					63	142
NBG_against_con	AGAINST (con, 162)	against	con	Preposition	1	against	against					64	162
NBG_age_n	AGE (n, 321)	age	n	Noun	1	age	age					65	321
NBG_age_v	age (v, 1341)	age	v	Verb	1	age	age					66	1341
NBG_agency_n	agency (n, 913)	agency	n	Noun	1	agency	agency					67	913
NBG_agenda_n	agenda (n, 2417)	agenda	n	Noun	1	agenda	agenda					68	2417
NBG_agent_n	agent (n, 1366)	agent	n	Noun	1	agent	agent					69	1366
NBG_ago_adv	AGO (adv, 411)	ago	adv	Postposition	1	ago	ago		Y			70	411
NBG_agree_v	AGREE (v, 436)	agree	v	Verb	1	agree	agree					71	436
NBG_agreement_n	agreement (n, 1000)	agreement	n	Noun	1	agreement	agreement					72	1000
NBG_ahead_adv	ahead (adv, 1022)	ahead	adv	Adverb	1	ahead	ahead					73	1022
NBG_aid_n	aid (n, 1495)	aid	n	Noun	1	aid	aid					74	1495
NBG_aim_n	aim (n, 1404)	aim	n	Noun	1	aim	aim					75	1404
NBG_aim_v	aim (v, 1166)	aim	v	Verb	1	aim	aim					76	1166
NBG_air_n	air (n, 523)	air	n	Noun	1	air	air/translations					77	523
NBG_airport_n	airport (n, 1992)	airport	n	Noun	1	airport	airport					78	1992
NBG_album_n	album (n, 1896)	album	n	Noun	1	album	album					79	1896
NBG_alcohol_n	alcohol (n, 1663)	alcohol	n	Noun	1	alcohol	alcohol					80	1663
NBG_alive_adj	alive (adj, 1951)	alive	adj	Adjective	1	alive	alive					81	1951
NBG_all_adv	ALL (adv, pron, 147)	all	adv	Adverb	1	all	all					82	147
NBG_all_pron_2	ALL (adv, pron, 147)	all	pron	Pronoun	2	everything	everything				Y	82	147
NBG_all_pron_3	ALL (adv, pron, 147)	all	pron	Pronoun	3	everyone	everyone				Y	82	147
NBG_all_x	ALL (x, 39)	all	x	Determiner	1	all	all					83	39
NBG_allow_v	ALLOW (v, 212)	allow	v	Verb	1	allow	allow					84	212
NBG_almost_adv	ALMOST (adv, 234)	almost	adv	Adverb	1	almost	almost					85	234
NBG_alone_adv	alone (adv, 663)	alone	adv	Adverb	1	alone	alone					86	663
NBG_along_adv	along (adv, 1678)	along	adv	Adverb	1	along	along					87	1678
NBG_along_avp	along (avp, 1521)	along	avp	Adverb	1	along	along					88	1521
NBG_along_con	ALONG (con, 481)	along	con	Preposition	1	along	along					89	481
NBG_alongside_con	alongside (con, 2091)	alongside	con	Preposition	1	alongside	alongside					90	2091
NBG_already_adv	ALREADY (adv, 218)	already	adv	Adverb	1	already	already					91	218
NBG_also_adv	ALSO (adv, 68)	also	adv	Adverb	1	also	also					92	68
NBG_alternative_adj	alternative (adj, 2295)	alternative	adj	Adjective	1	alternative	alternative					93	2295
NBG_alternative_n	alternative (n, 1697)	alternative	n	Noun	1	alternative	alternative					94	1697
NBG_although_con	ALTHOUGH (con, 197)	although	con	Conjunction	1	although	although					95	197
NBG_always_adv	ALWAYS (adv, 163)	always	adv	Adverb	1	always	always					96	163
NBG_among_con	AMONG (con, 340)	among	con	Preposition	1	among	among					97	340
NBG_amongst_con	amongst (con, 2055)	amongst	con	Preposition	1	amongst	amongst					98	2055
NBG_amount_n	amount (n, 535)	amount	n	Noun	1	amount	amount					99	535
NBG_analyse_v	analyse (v, 2169)	analyse	v	Verb	1	analyze	analyze				Y	100	2169
NBG_analysis_n	analysis (n, 1014)	analysis	n	Noun	1	analysis	analysis					101	1014
NBG_ancient_adj	ancient (adj, 1665)	ancient	adj	Adjective	1	ancient	ancient					102	1665
NBG_and_con	AND (con, 4)	and	con	Conjunction	1	and	and/translations					103	4
NBG_angle_n	angle (n, 2292)	angle	n	Noun	1	angle	angle					104	2292
NBG_animal_n	animal (n, 1083)	animal	n	Noun	1	animal	animal/translations					105	1083
NBG_announce_v	announce (v, 975)	announce	v	Verb	1	announce	announce					106	975
NBG_annual_adj	annual (adj, 1172)	annual	adj	Adjective	1	annual	annual					107	1172
NBG_another_x	ANOTHER (x, 131)	another	x	Determiner	1	another	another					108	131
NBG_answer_n	answer (n, 659)	answer	n	Noun	1	answer	answer					109	659
NBG_answer_v	answer (v, 874)	answer	v	Verb	1	answer	answer					110	874
NBG_anticipate_v	anticipate (v, 2469)	anticipate	v	Verb	1	anticipate	anticipate					111	2469
NBG_anxiety_n	anxiety (n, 2339)	anxiety	n	Noun	1	anxiety	anxiety					112	2339
NBG_any_x	ANY (x, 70)	any	x	Determiner	1	any	any					113	70
NBG_anyone_pron	anyone (pron, 558)	anyone	pron	Pronoun	1	anyone	anyone					114	558
NBG_anything_pron	ANYTHING (pron, 325)	anything	pron	Pronoun	1	anything	anything					115	325
NBG_anyway_adv	anyway (adv, 1273)	anyway	adv	Adverb	1	anyway	anyway					116	1273
NBG_anywhere_adv	anywhere (adv, 1836)	anywhere	adv	Adverb	1	anywhere	anywhere					117	1836
NBG_apart_adv	apart (adv, 1154)	apart	adv	Postposition	1	apart	apart		Y	Wiktionary has an 'Adverb' section, but the translations are incorrectly in the 'Postposition' section.		118	1154
NBG_apartment_n	apartment (n, 2217)	apartment	n	Noun	1	apartment	apartment					119	2217
NBG_apparent_adj	apparent (adj, 1594)	apparent	adj	Adjective	1	apparent	apparent					120	1594
NBG_apparently_adv	apparently (adv, 1189)	apparently	adv	Adverb	1	apparently	apparently					121	1189
NBG_appeal_n	appeal (n, 1226)	appeal	n	Noun	1	appeal	appeal					122	1226
NBG_appear_v	APPEAR (v, 279)	appear	v	Verb	1	appear	appear					123	279
NBG_appearance_n	appearance (n, 1263)	appearance	n	Noun	1	appearance	appearance					124	1263
NBG_application_n	application (n, 961)	application	n	Noun	1	application	application					125	961
NBG_apply_v	APPLY (v, 497)	apply	v	Verb	1	apply	apply					126	497
NBG_appoint_v	appoint (v, 2029)	appoint	v	Verb	1	appoint	appoint					127	2029
NBG_appointment_n	appointment (n, 1736)	appointment	n	Noun	1	appointment	appointment					128	1736
NBG_appreciate_v	appreciate (v, 1525)	appreciate	v	Verb	1	appreciate	appreciate					129	1525
NBG_approach_n	approach (n, 606)	approach	n	Noun	1	approach	approach					130	606
NBG_approach_v	approach (v, 1141)	approach	v	Verb	1	approach	approach					131	1141
NBG_appropriate_adj	appropriate (adj, 1034)	appropriate	adj	Adjective	1	appropriate	appropriate					132	1034
NBG_approval_n	approval (n, 2239)	approval	n	Noun	1	approval	approval					133	2239
NBG_approve_v	approve (v, 1617)	approve	v	Verb	1	approve	approve					134	1617
NBG_approximately_adv	approximately (adv, 2052)	approximately	adv	Adverb	1	approximately	approximately					135	2052
NBG_April_n	April (n, 955)	April	n	Proper noun	1	April	April					136	955
NBG_area_n	AREA (n, 187)	area	n	Noun	1	area	area					137	187
NBG_argue_v	argue (v, 780)	argue	v	Verb	1	argue	argue					138	780
NBG_argument_n	argument (n, 824)	argument	n	Noun	1	argument	argument					139	824
NBG_arise_v	arise (v, 1392)	arise	v	Verb	1	arise	arise					140	1392
NBG_arm_n	arm (n, 544)	arm	n	Noun	1	arm	arm | arm/translations					141	544
NBG_army_n	army (n, 1243)	army	n	Noun	1	army	army					142	1243
NBG_around_adv	around (adv, 811)	around	adv	Adverb	1	around	around					143	811
NBG_around_avp	around (avp, 687)	around	avp	Adverb	1	around	around					144	687
NBG_around_con	AROUND (con, 262)	around	con	Preposition	1	around	around					145	262
NBG_arrange_v	arrange (v, 1249)	arrange	v	Verb	1	arrange	arrange					146	1249
NBG_arrangement_n	arrangement (n, 1181)	arrangement	n	Noun	1	arrangement	arrangement					147	1181
NBG_arrival_n	arrival (n, 1950)	arrival	n	Noun	1	arrival	arrival					148	1950
NBG_arrive_v	arrive (v, 624)	arrive	v	Verb	1	arrive	arrive					149	624
NBG_art_n	art (n, 672)	art	n	Noun	1	art	art					150	672
NBG_article_n	article (n, 821)	article	n	Noun	1	article	article					151	821
NBG_artist_n	artist (n, 1257)	artist	n	Noun	1	artist	artist					152	1257
NBG_as_adv	AS (adv, 62)	as	adv	Adverb	1	as	as/translations					153	62
NBG_as_con	AS (con, 16)	as	con	Conjunction	1	as	as/translations					154	16
NBG_ask_v	ASK (v, 140)	ask	v	Verb	1	ask	ask					155	140
NBG_aspect_n	aspect (n, 787)	aspect	n	Noun	1	aspect	aspect					156	787
NBG_assess_v	assess (v, 1706)	assess	v	Verb	1	assess	assess					157	1706
NBG_assessment_n	assessment (n, 1770)	assessment	n	Noun	1	assessment	assessment					158	1770
NBG_asset_n	asset (n, 2282)	asset	n	Noun	1	asset	asset					159	2282
NBG_assist_v	assist (v, 1967)	assist	v	Verb	1	assist	assist					160	1967
NBG_assistance_n	assistance (n, 2211)	assistance	n	Noun	1	assistance	assistance					161	2211
NBG_associate_v	associate (v, 880)	associate	v	Verb	1	associate	associate					162	880
NBG_association_n	association (n, 844)	association	n	Noun	1	association	association					163	844
NBG_assume_v	assume (v, 767)	assume	v	Verb	1	assume	assume					164	767
NBG_at_con	AT (con, 17)	at	con	Preposition	1	at	at					165	17
NBG_atmosphere_n	atmosphere (n, 1847)	atmosphere	n	Noun	1	atmosphere	atmosphere					166	1847
NBG_attach_v	attach (v, 1573)	attach	v	Verb	1	attach	attach					167	1573
NBG_attack_n	attack (n, 1036)	attack	n	Noun	1	attack	attack					168	1036
NBG_attack_v	attack (v, 1740)	attack	v	Verb	1	attack	attack					169	1740
NBG_attempt_n	attempt (n, 715)	attempt	n	Noun	1	attempt	attempt					170	715
NBG_attempt_v	attempt (v, 1182)	attempt	v	Verb	1	attempt	attempt					171	1182
NBG_attend_v	attend (v, 815)	attend	v	Verb	1	attend	attend					172	815
NBG_attention_n	attention (n, 555)	attention	n	Noun	1	attention	attention					173	555
NBG_attitude_n	attitude (n, 1126)	attitude	n	Noun	1	attitude	attitude					174	1126
NBG_attract_v	attract (v, 1253)	attract	v	Verb	1	attract	attract					175	1253
NBG_attractive_adj	attractive (adj, 1670)	attractive	adj	Adjective	1	attractive	attractive					176	1670
NBG_audience_n	audience (n, 1203)	audience	n	Noun	1	audience	audience					177	1203
NBG_August_n	August (n, 1247)	August	n	Proper noun	1	August	August					178	1247
NBG_author_n	author (n, 1084)	author	n	Noun	1	author	author					179	1084
NBG_authority_n	AUTHORITY (n, 467)	authority	n	Noun	1	authority	authority					180	467
NBG_available_adj	AVAILABLE (adj, 405)	available	adj	Adjective	1	available	available					181	405
NBG_average_adj	average (adj, 1358)	average	adj	Adjective	1	average	average					182	1358
NBG_average_n	average (n, 2036)	average	n	Noun	1	average	average					183	2036
NBG_avoid_v	avoid (v, 707)	avoid	v	Verb	1	avoid	avoid					184	707
NBG_award_n	award (n, 1814)	award	n	Noun	1	award	award					185	1814
NBG_award_v	award (v, 2337)	award	v	Verb	1	award	award					186	2337
NBG_aware_adj	aware (adj, 925)	aware	adj	Adjective	1	aware	aware					187	925
NBG_awareness_n	awareness (n, 1653)	awareness	n	Noun	1	awareness	awareness					188	1653
NBG_away_adv	AWAY (adv, 208)	away	adv	Adverb	1	away	away					189	208
NBG_away_avp	away (avp, 908)	away	avp	Adverb	1	away	away					190	908
NBG_baby_n	baby (n, 964)	baby	n	Noun	1	baby	baby					191	964
NBG_back_adj	back (adj, 1438)	back	adj	Adjective	1	back	back					192	1438
NBG_back_adv	BACK (adv, 112)	back	adv	Adverb	1	back	back					193	112
NBG_back_n	back (n, 604)	back	n	Noun	1	back	back					194	604
NBG_back_v	back (v, 1750)	back	v	Verb	1	back	back					195	1750
NBG_background_n	background (n, 1142)	background	n	Noun	1	background	background					196	1142
NBG_bad_adj	BAD (adj, 304)	bad	adj	Adjective	1	bad	bad					197	304
NBG_bag_n	bag (n, 1337)	bag	n	Noun	1	bag	bag					198	1337
NBG_balance_n	balance (n, 1200)	balance	n	Noun	1	balance	balance					199	1200
NBG_ball_n	ball (n, 1487)	ball	n	Noun	1	ball	ball					200	1487
NBG_band_n	band (n, 1245)	band	n	Noun	1	band	band					201	1245
NBG_bank_n	bank (n, 740)	bank	n	Noun	1	bank	bank					202	740
NBG_bar_n	bar (n, 1072)	bar	n	Noun	1	bar	bar/translations					203	1072
NBG_barely_adv	barely (adv, 2335)	barely	adv	Adverb	1	barely	barely					204	2335
NBG_barrier_n	barrier (n, 2250)	barrier	n	Noun	1	barrier	barrier					205	2250
NBG_base_n	base (n, 1042)	base	n	Noun	1	base	base					206	1042
NBG_base_v	BASE (v, 389)	base	v	Verb	1	base	base					207	389
NBG_basic_adj	basic (adj, 958)	basic	adj	Adjective	1	basic	basic					208	958
NBG_basis_n	basis (n, 782)	basis	n	Noun	1	basis	basis					209	782
NBG_bathroom_n	bathroom (n, 2456)	bathroom	n	Noun	1	bathroom	bathroom					210	2456
NBG_battle_n	battle (n, 1527)	battle	n	Noun	1	battle	battle					211	1527
NBG_be_v	BE (v, 2)	be	v	Verb	1	be	be/translations					212	2
NBG_beach_n	beach (n, 2038)	beach	n	Noun	1	beach	beach					213	2038
NBG_bear_v	BEAR (v, 426)	bear	v	Verb	1	bear	bear					214	426
NBG_beat_v	beat (v, 1264)	beat	v	Verb	1	beat	beat					215	1264
NBG_beautiful_adj	beautiful (adj, 1125)	beautiful	adj	Adjective	1	beautiful	beautiful					216	1125
NBG_beauty_n	beauty (n, 1626)	beauty	n	Noun	1	beauty	beauty					217	1626
NBG_because_con	BECAUSE (con, 96)	because	con	Conjunction	1	because	because					218	96
NBG_become_v	BECOME (v, 116)	become	v	Verb	1	become	become					219	116
NBG_bed_n	bed (n, 644)	bed	n	Noun	1	bed	bed/translations					220	644
NBG_bedroom_n	bedroom (n, 1893)	bedroom	n	Noun	1	bedroom	bedroom					221	1893
NBG_beer_n	beer (n, 2300)	beer	n	Noun	1	beer	beer					222	2300
NBG_before_adv	before (adv, 650)	before	adv	Adverb	1	before	before					223	650
NBG_before_con	BEFORE (con, 108)	before	con	Preposition	1	before	before					224	108
NBG_begin_v	BEGIN (v, 199)	begin	v	Verb	1	begin	begin					225	199
NBG_beginning_n	beginning (n, 1043)	beginning	n	Noun	1	beginning	beginning					226	1043
NBG_behaviour_n	behaviour (n, 903)	behaviour	n	Noun	1	behavior	behavior				Y	227	903
NBG_behind_con	BEHIND (con, 392)	behind	con	Preposition	1	behind	behind					228	392
NBG_being_n	being (n, 2063)	being	n	Noun	1	being	being					229	2063
NBG_belief_n	belief (n, 1311)	belief	n	Noun	1	belief	belief					230	1311
NBG_believe_v	BELIEVE (v, 237)	believe	v	Verb	1	believe	believe					231	237
NBG_belong_v	belong (v, 1388)	belong	v	Verb	1	belong	belong					232	1388
NBG_below_adv	below (adv, 1229)	below	adv	Adverb	1	below	below					233	1229
NBG_below_con	below (con, 1017)	below	con	Preposition	1	below	below					234	1017
NBG_benefit_n	benefit (n, 651)	benefit	n	Noun	1	benefit	benefit					235	651
NBG_benefit_v	benefit (v, 1741)	benefit	v	Verb	1	benefit	benefit					236	1741
NBG_bet_v	bet (v, 2473)	bet	v	Verb	1	bet	bet					237	2473
NBG_between_con	BETWEEN (con, 102)	between	con	Preposition	1	between	between					238	102
NBG_beyond_con	beyond (con, 655)	beyond	con	Preposition	1	beyond	beyond					239	655
NBG_big_adj	BIG (adj, 309)	big	adj	Adjective	1	big	big					240	309
NBG_bike_n	bike (n, 2057)	bike	n	Noun	1	bike	bike					241	2057
NBG_bill_n	bill (n, 941)	bill	n	Noun	1	bill	bill					242	941
NBG_billion_x	billion (x, 1370)	billion	x	Numeral	1	billion	billion					243	1370
NBG_bind_v	bind (v, 1530)	bind	v	Verb	1	bind	bind					244	1530
NBG_bird_n	bird (n, 1319)	bird	n	Noun	1	bird	bird					245	1319
NBG_birth_n	birth (n, 1481)	birth	n	Noun	1	birth	birth					246	1481
NBG_birthday_n	birthday (n, 2119)	birthday	n	Noun	1	birthday	birthday					247	2119
NBG_bit_n	BIT (n, 473)	bit	n	Noun	1	bit	bit					248	473
NBG_black_adj	black (adj, 589)	black	adj	Adjective	1	black	black/translations					249	589
NBG_blame_v	blame (v, 2019)	blame	v	Verb	1	blame	blame					250	2019
NBG_block_n	block (n, 1398)	block	n	Noun	1	block	block					251	1398
NBG_block_v	block (v, 2251)	block	v	Verb	1	block	block					252	2251
NBG_blood_n	blood (n, 896)	blood	n	Noun	1	blood	blood/translations					253	896
NBG_blow_v	blow (v, 1614)	blow	v	Verb	1	blow	blow					254	1614
NBG_blue_adj	blue (adj, 1018)	blue	adj	Adjective	1	blue	blue					255	1018
NBG_board_n	board (n, 781)	board	n	Noun	1	board	board					256	781
NBG_boat_n	boat (n, 1864)	boat	n	Noun	1	boat	boat					257	1864
NBG_body_n	BODY (n, 290)	body	n	Noun	1	body	body					258	290
NBG_bond_n	bond (n, 2334)	bond	n	Noun	1	bond	bond					259	2334
NBG_bone_n	bone (n, 2135)	bone	n	Noun	1	bone	bone/translations					260	2135
NBG_book_n	BOOK (n, 288)	book	n	Noun	1	book	book/translations					261	288
NBG_boost_v	boost (v, 2391)	boost	v	Verb	1	boost	boost					262	2391
NBG_boot_n	boot (n, 2192)	boot	n	Noun	1	boot	boot					263	2192
NBG_border_n	border (n, 2093)	border	n	Noun	1	border	border					264	2093
NBG_borrow_v	borrow (v, 2382)	borrow	v	Verb	1	borrow	borrow					265	2382
NBG_boss_n	boss (n, 2304)	boss	n	Noun	1	boss	boss					266	2304
NBG_both_con	BOTH (con, pron, 282)	both	con	Conjunction	1	both	both					267	282
NBG_both_pron	BOTH (con, pron, 282)	both	pron	Pronoun	2	both	both	_NOSENSE				267	282
NBG_both_x	BOTH (x, 202)	both	x	Determiner	3	both	both					268	202
NBG_bother_v	bother (v, 2172)	bother	v	Verb	1	bother	bother					269	2172
NBG_bottle_n	bottle (n, 1624)	bottle	n	Noun	1	bottle	bottle					270	1624
NBG_bottom_n	bottom (n, 1631)	bottom	n	Noun	1	bottom	bottom					271	1631
NBG_box_n	box (n, 916)	box	n	Noun	1	box	box | box/translations					272	916
NBG_boy_n	BOY (n, 435)	boy	n	Noun	1	boy	boy					273	435
NBG_brain_n	brain (n, 1502)	brain	n	Noun	1	brain	brain					274	1502
NBG_branch_n	branch (n, 1613)	branch	n	Noun	1	branch	branch					275	1613
NBG_brand_n	brand (n, 1296)	brand	n	Noun	1	brand	brand					276	1296
NBG_bread_n	bread (n, 2467)	bread	n	Noun	1	bread	bread					277	2467
NBG_break_n	break (n, 1822)	break	n	Noun	1	break	break/translations					278	1822
NBG_break_v	BREAK (v, 388)	break	v	Verb	1	break	break/translations					279	388
NBG_breakfast_n	breakfast (n, 2182)	breakfast	n	Noun	1	breakfast	breakfast					280	2182
NBG_breast_n	breast (n, 1999)	breast	n	Noun	1	breast	breast					281	1999
NBG_breath_n	breath (n, 1810)	breath	n	Noun	1	breath	breath					282	1810
NBG_breathe_v	breathe (v, 2307)	breathe	v	Verb	1	breathe	breathe					283	2307
NBG_bridge_n	bridge (n, 2153)	bridge	n	Noun	1	bridge	bridge					284	2153
NBG_brief_adj	brief (adj, 1824)	brief	adj	Adjective	1	brief	brief					285	1824
NBG_bright_adj	bright (adj, 1356)	bright	adj	Adjective	1	bright	bright					286	1356
NBG_brilliant_adj	brilliant (adj, 2094)	brilliant	adj	Adjective	1	brilliant	brilliant					287	2094
NBG_bring_v	BRING (v, 167)	bring	v	Verb	1	bring	bring					288	167
NBG_broad_adj	broad (adj, 1585)	broad	adj	Adjective	1	broad	broad					289	1585
NBG_brother_n	brother (n, 914)	brother	n	Noun	1	brother	brother/translations					290	914
NBG_brown_adj	brown (adj, 2075)	brown	adj	Adjective	1	brown	brown					291	2075
NBG_budget_n	budget (n, 1321)	budget	n	Noun	1	budget	budget					292	1321
NBG_build_v	BUILD (v, 361)	build	v	Verb	1	build	build					293	361
NBG_building_n	building (n, 518)	building	n	Noun	1	building	building					294	518
NBG_burn_v	burn (v, 1547)	burn	v	Verb	1	burn	burn					295	1547
NBG_bus_n	bus (n, 1577)	bus	n	Noun	1	bus	bus/translations					296	1577
NBG_business_n	BUSINESS (n, 266)	business	n	Noun	1	business	business					297	266
NBG_busy_adj	busy (adj, 1479)	busy	adj	Adjective	1	busy	busy					298	1479
NBG_but_con	BUT (con, 23)	but	con	Conjunction	1	but	but					299	23
NBG_button_n	button (n, 1917)	button	n	Noun	1	button	button					300	1917
NBG_buy_v	BUY (v, 417)	buy	v	Verb	1	buy	buy					301	417
NBG_buyer_n	buyer (n, 2056)	buyer	n	Noun	1	buyer	buyer					302	2056
NBG_by_con	BY (con, 19)	by	con	Preposition	1	by	by					303	19
NBG_cake_n	cake (n, 2457)	cake	n	Noun	1	cake	cake					304	2457
NBG_calculate_v	calculate (v, 2012)	calculate	v	Verb	1	calculate	calculate					305	2012
NBG_call_n	call (n, 895)	call	n	Noun	1	call	call					306	895
NBG_call_v	CALL (v, 143)	call	v	Verb	1	call	call					307	143
NBG_camera_n	camera (n, 1825)	camera	n	Noun	1	camera	camera					308	1825
NBG_camp_n	camp (n, 2332)	camp	n	Noun	1	camp	camp					309	2332
NBG_campaign_n	campaign (n, 1098)	campaign	n	Noun	1	campaign	campaign					310	1098
NBG_can_mod	CAN (mod, 41)	can	mod	Verb	1	can	can					311	41
NBG_cancer_n	cancer (n, 1294)	cancer	n	Noun	1	cancer	cancer					312	1294
NBG_candidate_n	candidate (n, 1538)	candidate	n	Noun	1	candidate	candidate					313	1538
NBG_capable_adj	capable (adj, 1635)	capable	adj	Adjective	1	capable	capable					314	1635
NBG_capacity_n	capacity (n, 1334)	capacity	n	Noun	1	capacity	capacity					315	1334
NBG_capital_n	capital (n, 1076)	capital	n	Noun	1	capital	capital					316	1076
NBG_capture_v	capture (v, 1552)	capture	v	Verb	1	capture	capture					317	1552
NBG_car_n	CAR (n, 367)	car	n	Noun	1	car	car					318	367
NBG_carbon_n	carbon (n, 2289)	carbon	n	Noun	1	carbon	carbon					319	2289
NBG_card_n	card (n, 933)	card	n	Noun	1	card	card					320	933
NBG_care_n	care (n, 525)	care	n	Noun	1	care	care					321	525
NBG_care_v	care (v, 1270)	care	v	Verb	1	care	care					322	1270
NBG_career_n	career (n, 963)	career	n	Noun	1	career	career					323	963
